market,status,ldate,litho,rprice,ncore,nthread,bfreq,tdp,memband,temp
Desktop,End of Interactive Support,,180,,1,,1.50 GHz,57.8 W,"",73°C
Mobile,End of Interactive Support,,180,,1,,500 MHz,16.8 W,"",100°C
Mobile,End of Interactive Support,,130,,1,,1.13 GHz,21.8 W,"",100°C
Mobile,End of Interactive Support,,130,,1,,2.66 GHz,66.1 W,"","74°C,100°C"
Mobile,End of Interactive Support,,130,,1,,2.60 GHz,35 W,"",100°C
Mobile,End of Interactive Support,,90,,1,,3.20 GHz,88 W,"",75°C
Mobile,Launched,2012.5,32,,2,2,1.50 GHz,17 W,21.3 GB/s,100C
Mobile,End of Interactive Support,2010.5,32,,2,2,2.00 GHz,35 W,17.1 GB/s,90°C
Mobile,End of Interactive Support,2011,32,,2,2,1.33 GHz,18 W,12.8 GB/s,105°C
Desktop,End of Interactive Support,,,,1,,150 MHz,"","",""
Desktop,End of Interactive Support,,,,1,,150 MHz,"","",""
Desktop,End of Interactive Support,,,,1,,75 MHz,"","",""
Desktop,End of Interactive Support,,,,1,,200 MHz,44 W,"",80°C
Desktop,End of Interactive Support,,,,1,,180 MHz,31.7 W,"",85°C
Desktop,End of Interactive Support,,,,1,,400 MHz,24.3 W,"",80°C
Desktop,End of Interactive Support,,,,1,,266 MHz,16.8 W,"",65°C
Mobile,End of Interactive Support,,,,1,,266 MHz,10.3 W,"",""
Desktop,End of Interactive Support,2011.5,32,,2,2,2.80 GHz,73 W,17 GB/s,72.6°C
Mobile,End of Interactive Support,2008.75,65,,2,,2.16 GHz,35 W,"",100°C
Desktop,End of Interactive Support,2008,45,72,2,,2.60 GHz,65 W,"",74.1°C
Mobile,End of Interactive Support,2007.25,65,,2,,1.73 GHz,31 W,"",100°C
Desktop,End of Interactive Support,2006.5,65,,2,,1.80 GHz,65 W,"",73.3°C
Desktop,End of Interactive Support,2006,65,999,2,,3.73 GHz,130 W,"",68.6°C
Mobile,End of Interactive Support,,130,,1,,1.70 GHz,24.5 W,"",100°C
Desktop,End of Interactive Support,,130,,1,,1.13 GHz,29.1 W,"",69°C
Desktop,End of Interactive Support,,180,,1,,1.10 GHz,33 W,"",77°C
Desktop,End of Interactive Support,2006,65,,2,,2.80 GHz,95 W,"",63.4°C
Desktop,End of Interactive Support,2005.25,90,74,2,,2.80 GHz,95 W,"",64.1°C
Desktop,End of Interactive Support,,130,,1,,2.60 GHz,69 W,"",75°C
Desktop,End of Interactive Support,2004.75,90,,1,,3.73 GHz,115 W,"",70.8°C
Desktop,End of Interactive Support,,130,,1,,3.40 GHz,102.9 W,"",67°C
Desktop,End of Interactive Support,2006,65,,1,,3.00 GHz,86 W,"",B1+C1=69.2°C. D0=64.1°C
Desktop,End of Interactive Support,2004.25,90,,1,,2.80 GHz,84 W,"",67.7°C
Desktop,End of Interactive Support,2005,90,,1,,2.66 GHz,84 W,"",67.7°C
Desktop,End of Interactive Support,,90,,1,,2.40 GHz,89 W,"",69.1°C
Desktop,End of Interactive Support,,180,,1,,1.40 GHz,54.7 W,"",72°C
Mobile,End of Interactive Support,,180,,1,,450 MHz,15.5 W,"",100°C
Mobile,End of Interactive Support,,130,,1,,1.06 GHz,21 W,"",100°C
Mobile,End of Interactive Support,,90,,1,,3.06 GHz,88 W,"",75°C
Mobile,Launched,2012.5,32,,2,2,1.60 GHz,17 W,21.3 GB/s,100C
Mobile,End of Interactive Support,,,,1,,1.06 GHz,21 W,"",100°C
Mobile,End of Interactive Support,,,,1,,233 MHz,9 W,"",""
