market,status,ldate,litho,rprice,ncore,bfreq,tdp,temp
Desktop,End of Life,2011.5,32,,2,2.7,65,69.1
Mobile,End of Interactive Support,,,,1,0.4,13.1,
Mobile,End of Interactive Support,2003.25,130,,1,1.1,12,100
Desktop,End of Interactive Support,,180,,1,0.6,15.8,82
Desktop,End of Interactive Support,,250,,1,0.55,30.8,80
Desktop,End of Interactive Support,2006,65,224,2,3.4,130,68.6
Desktop,End of Interactive Support,2004.25,90,,1,3,89,73.5
Desktop,End of Interactive Support,2006,65,,1,3.6,86,69
Desktop,End of Interactive Support,2006.25,90,,1,3.06,84,67.7
Desktop,End of Interactive Support,,90,,1,3.06,84,67.7
Desktop,End of Interactive Support,,90,,1,2.8,84,67.7
Desktop,End of Interactive Support,,180,,1,1.8,66.7,78
Mobile,End of Interactive Support,,180,,1,0.8,25.9,100
Mobile,End of Interactive Support,,130,,1,2,32,100
Mobile,End of Life,2011.25,32,,2,2.1,35,85
Desktop,End of Life,2012.25,32,82,2,3.1,65,69.1
Desktop,End of Life,2012.25,32,64,2,2.8,65,69.1
Mobile,End of Interactive Support,,,,1,0.366,13.1,
Desktop,End of Interactive Support,,,,1,0.3,,
Desktop,End of Interactive Support,2010.25,45,,2,3.2,65,74.1
Desktop,End of Interactive Support,2010.75,45,72,2,3.2,65,74.1
Mobile,End of Interactive Support,,65,,2,1.86,35,100
Mobile,End of Interactive Support,,130,,1,1.3,22,100
Desktop,End of Interactive Support,,180,,1,0.55,14.5,82
Desktop,End of Interactive Support,2006.5,65,163,2,3.4,95,63.4
Desktop,End of Interactive Support,,250,,1,0.533,29.7,90
Desktop,End of Interactive Support,,130,,1,3,81.9,
Desktop,End of Interactive Support,2005.5,90,,1,2.8,84,67.7
Desktop,End of Interactive Support,2005.75,90,,1,2.93,84,67.7
Desktop,End of Interactive Support,,130,,1,2.66,66.1,74
Desktop,End of Interactive Support,2005,90,,1,3.6,115,70.8
Desktop,End of Interactive Support,,130,,1,1.7,,
Mobile,End of Interactive Support,,180,,1,0.75,24.6,100
Mobile,End of Interactive Support,,130,,1,0.65,7,100
Mobile,End of Interactive Support,2002,130,,1,2.2,35,100
Desktop,End of Life,2012.25,32,72,2,2.4,35,65
Desktop,End of Interactive Support,,,,1,0.266,,
Mobile,End of Interactive Support,,,,1,0.333,11.8,
Desktop,End of Interactive Support,2010.5,45,64,2,3,65,74.1
Mobile,End of Interactive Support,2009.75,45,,2,2.2,35,105
Mobile,End of Interactive Support,2008,65,,2,1.73,35,100
Desktop,End of Interactive Support,2008,65,,2,2.4,65,73.3
Mobile,End of Interactive Support,2004.25,90,,1,1.6,7.5,100
Mobile,End of Interactive Support,,130,,1,1.4,22,100
Desktop,End of Interactive Support,,180,,1,0.533,14,82
Desktop,End of Interactive Support,,250,,1,0.5,28,90
Desktop,End of Interactive Support,2006,65,183,2,3.2,130,68.6
Desktop,End of Interactive Support,2004,90,,1,3,89,69.4
Desktop,End of Interactive Support,2006.25,65,81,1,3.4,86,69.2
Desktop,End of Interactive Support,2004.75,90,,1,2.8,84,67.7
Desktop,End of Interactive Support,2005.5,90,,1,2.93,84,67.7
Desktop,End of Interactive Support,,90,,1,2.66,89,73.1
Desktop,End of Interactive Support,,180,,1,1.7,64,76
Mobile,End of Interactive Support,,180,,1,0.7,23,100
Mobile,End of Interactive Support,,130,,1,1.33,,100
Mobile,End of Interactive Support,,130,,1,3.2,76,72
Mobile,End of Interactive Support,,130,,1,2.3,35,100
Mobile,Launched,2011.75,32,,2,2.2,35,85
Mobile,End of Interactive Support,,,,1,0.3,11.1,
Mobile,Launched,2011.25,32,,2,1.2,17,100
Desktop,End of Interactive Support,,,,1,0.233,17,85
Mobile,End of Interactive Support,2010,45,,2,2.3,35,
Desktop,End of Interactive Support,2010,45,75,2,3.06,65,74.1
Desktop,End of Interactive Support,2010.25,45,72,2,2.8,65,74.1
Mobile,End of Interactive Support,2007.75,65,,2,1.6,35,100
Desktop,End of Interactive Support,,90,,1,2.8,89,69.1
Desktop,End of Interactive Support,2007,65,84,2,3.2,95,63.4
Desktop,End of Interactive Support,,180,,1,0.5,13.2,85
Desktop,End of Interactive Support,,130,,1,1.4,31.2,69
Desktop,End of Interactive Support,2004,90,,1,2.8,89,69.4
Desktop,End of Interactive Support,2005,90,,1,3.4,84,66.6
Desktop,End of Interactive Support,,90,,1,2.8,84,67.7
Desktop,End of Interactive Support,,130,,1,2.53,61.5,72
Desktop,End of Interactive Support,,130,,1,1.6,38,66
Mobile,End of Interactive Support,,180,,1,0.65,21.5,100
Mobile,End of Interactive Support,,130,,1,1.26,22,100
Mobile,End of Interactive Support,,130,,1,3.06,70,74
Mobile,End of Interactive Support,,90,,1,3.46,88,75
Mobile,End of Interactive Support,,130,,1,2.4,35,100
Desktop,End of Life,2012.5,32,64,2,2.9,65,69.1
Mobile,Launched,2012,32,,2,2.3,35,85
Mobile,Launched,2011.75,32,,2,1.3,17,100
Mobile,End of Interactive Support,2011,32,,2,2.27,35,90
Mobile,End of Interactive Support,,,,1,0.3,11.6,
Desktop,End of Interactive Support,,,,1,0.2,15.7,72
Desktop,End of Interactive Support,,,,1,0.2,37.9,85
Desktop,End of Interactive Support,,,,1,0.333,20.6,65
Desktop,End of Interactive Support,2011,32,,2,2.93,73,72.6
Desktop,End of Interactive Support,2009.5,45,,2,2.93,65,74.1
Desktop,End of Interactive Support,2007.75,65,,2,2.2,65,73.3
Mobile,End of Interactive Support,2007.75,65,,2,1.46,35,100
Mobile,End of Interactive Support,,130,,1,1.5,24.5,100
Desktop,End of Interactive Support,,250,,1,0.45,25.3,90
Desktop,End of Interactive Support,,90,,1,2.8,89,69.1
Desktop,End of Interactive Support,,130,,1,1.33,29.9,69
Desktop,End of Interactive Support,2006,65,178,2,3,95,63.4
Desktop,End of Interactive Support,2005.25,90,423,2,3.2,130,69.8
Desktop,End of Interactive Support,,130,,1,2.8,69.7,75
Desktop,End of Interactive Support,2006,65,,1,3.2,86,69.2
Desktop,End of Interactive Support,2005.75,90,,1,2.8,84,67.7
Desktop,End of Interactive Support,,180,,1,1.6,61,75
Mobile,End of Interactive Support,,180,,1,0.6,34.5,75
Mobile,End of Interactive Support,,130,,1,1.2,22,100
