Vertical Segment,Status,Launch Date,Lithography,Recommended Customer Price,total Cores,total Threads,Processor Base Frequency,TDP,Max Memory Bandwidth,T
Desktop,End of Interactive Support,Q4'05,90 nm,N/A,1,NA,3.80 GHz,115 W,,70.8°C
Desktop,End of Interactive Support,Q2'04,90 nm,N/A,1,NA,3.20 GHz,84 W,,67.7°C
Desktop,End of Interactive Support,,180 nm,N/A,1,NA,2.00 GHz,71.8 W,,74°C
Mobile,End of Interactive Support,,130 nm,N/A,1,NA,1.60 GHz,26.9 W,,100°C
Embedded,Launched,Q2'12,,$168.00 ,2,4,1.50 GHz,15 W,21.3 GB/s,100°C
Desktop,End of Life,Q2'11,32 nm,$75.00 ,2,2,2.80 GHz,65 W,21 GB/s,69.1°C
Desktop,End of Life,Q2'11,32 nm,N/A,2,2,2.60 GHz,65 W,17 GB/s,69.1°C
Mobile,End of Interactive Support,,130 nm,N/A,1,NA,1.00 GHz,7 W,,100°C 
Mobile,End of Interactive Support,,90 nm,N/A,1,NA,1.70 GHz,7.5 W,,100°C
Desktop,End of Interactive Support,Q1'00,180 nm,N/A,1,NA,733 MHz,22.8 W,,80°C
Desktop,End of Interactive Support,,180 nm,N/A,1,NA,650 MHz,17 W,,82°C
Desktop,End of Interactive Support,Q1'04,90 nm,N/A,1,NA,3.20 GHz,103 W,,73.5°C
Desktop,End of Interactive Support,Q2'05,90 nm,N/A,1,NA,3.80 GHz,115 W,,70.8°C
Desktop,End of Interactive Support,Q2'04,90 nm,N/A,1,NA,3.00 GHz,84 W,,67.7°C
Mobile,End of Interactive Support,Q1'02,130 nm,N/A,1,NA,1.70 GHz,30 W,,100°C
Embedded,Launched,Q4'13,,N/A,2,4,2.00 GHz,15 W,,
Desktop,Launched,Q2'11,32 nm,$67.00 - $75.00,2,2,2.90 GHz,65 W,21 GB/s,69.1°C
Desktop,End of Life,Q3'11,32 nm,$64.00 ,2,2,2.70 GHz,65 W,17 GB/s,69.1°C
Desktop,End of Interactive Support,,180 nm,N/A,1,NA,667 MHz,17.5 W,,82°C
Desktop,End of Interactive Support,,250 nm,N/A,1,NA,600 MHz,34.5 W,,85°C
Desktop,End of Interactive Support,,130 nm,N/A,1,NA,3.20 GHz,82 W,,70°C
Desktop,End of Interactive Support,Q4'04,90 nm,N/A,1,NA,3.00 GHz,84 W,,67.7°C
Desktop,End of Interactive Support,,90 nm,N/A,1,NA,2.80 GHz,103 W,,
Desktop,End of Interactive Support,,180 nm,N/A,1,NA,1.90 GHz,69.2 W,,73°C
Mobile,End of Interactive Support,,180 nm,N/A,1,NA,900 MHz,30.7 W,,100°C
Mobile,End of Interactive Support,,130 nm,N/A,1,NA,933 MHz,20.1 W,,100°C
